,Unnamed: 0,Sno,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters,img
32,32,32,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1.0,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRr3IdZXhob7wdvt13rnC4K32kVjWgAs2vwssMwA_Bd36fqjx6lu3yIJm0xTQ&s
33,33,33,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2.0,4.4,30,Yes,,Historical,Yes,1.2,Morning,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8llOQZOypJLNtdBMI1XCzRr5a1es8PeiGL2xwqXc5wYz9MdUWxYG2XDDmb4s&s
34,34,34,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1.0,4.3,0,Yes,,Scenic,Yes,0.5,Evening,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSD85BRQo4pIKtmsN3tLAeqEqvR81PnSbcpW78JwYyCRccpxcDIHjqdPApkwg&s
35,35,35,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150,Yes,,Entertainment,Yes,0.45,All,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfaxLsOudD59UJZdJKXY4KW3DymrMz37LuZXcFrJRYJ0TvQY_zAv0zAG2GPBw&s
36,36,36,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2.0,4.4,20,Yes,,Historical,Yes,0.67,All,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUZYo47axQfhFsel1y_DcPFzD0vzc8GWKwyXem_T9Qo6zAOotZGOazRlSPxiA&s
37,37,37,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1.0,4.4,25,Yes,,Historical,Yes,0.2,Morning,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDwdOYAzXOhxELlDc-rWmdHZvvX_bYD8rMlaTWWpgFGb7LtORaq-ooOyZ7og&s
38,38,38,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1.0,4.7,0,Yes,,Religious,No,0.41,All,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtlvyk6K_434_-qfU0QBYz-Zq6N1ucpSSqTZebvyV708o2vq_3xJUV_YZxuL8&s
39,39,39,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,,Historical,Yes,0.45,Morning,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNof6sWq5-vXDATBszVspAvoeLJmwESV8o1RknwfJkKJ4hamjiBNqbvMMvQA&s
40,40,40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.2,50,Yes,,Wildlife,Yes,0.86,Morning,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSq5Lw-nZkhNDfFn6j7gnvD7_urGERNHKpNIn5TXWqrV8_F_7zpyEA8mRwCg&s
41,41,41,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1.0,4.1,20,Yes,,Recreational,Yes,0.73,Evening,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQoKyeLBugb1PM7ZHOn3JwEWybBwGQ0_NfUsvz8JhNj8-l72IAZO1Xr-vSvA&s
42,42,42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNIwAahHFS4Hjtit-YUg5G2-fB03kqvUvDw5_lbjgqulQE2yQjU3sU51tkCA&s
43,43,43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,,Architectural,No,1.2,Anytime,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCXKu1aON_K3ClHKJ3YBkHgFvCj69idYXcGIT4-EE7pIm1XHbGI6GDJVkg5p0&s
44,44,44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.0,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlFycaLSPlTjDGxo97uJ9YkSPoJszrvVZgYkxcywd6fyan1ikf_yFzLGpKRQ&s
45,45,45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0,Yes,,Religious,Yes,0.82,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTT5asrhnERznhl-vMOo6uWwoaFdQZwMZNrb6Hj6gjZTgTxFpzex1P1WfAC11E&s
46,46,46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1.0,4.4,0,Yes,,Religious,Yes,0.5,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgESUMfAkztkoklDM_GnYauRK4rYoKwk8NZIgml1RDUhxbb0KIUlVIun1HO1U&s
47,47,47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3.0,4.1,2500,Yes,,Sports,Yes,0.1,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUX3ZeEDmACWB-HsddbVtEVaPGIwurDBKx-Z4P-1-geYCbUZXph8LqVIGgCM0&s
48,48,48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2.0,4.3,25,Yes,,Wildlife,Yes,0.66,Afternoon,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqs8m2HfOZJ5MyNVulv0VESHo5aMXUcQloarKcAyVaEgUTOZEJDd47hCJG7tE&s
49,49,49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3.0,4.4,60,Yes,,Educational,Yes,0.88,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbOvhG1Ui3veU87IU8kP892m_Lc8qpgzB_gzC7r44Wtq34X316-FE3LA2O4Fc&s
50,50,50,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,,Religious,Yes,0.47,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkeBubCfZWKPrDXABppjUKSUOoLhoR2zrEU6s63CfwiA1MctSuaSAXELALOA&s
51,51,51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1.0,4.4,0,Yes,,Historical,Yes,0.1,Afternoon,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTD-FdN7A9yksKo8mqYrH36ArgSqVNVlWvYTB1dzCvcxGpLIpLU6wFJUU1NrQ&s
52,52,52,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2.0,4.4,0,Yes,,Scenic,Yes,0.26,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTC2ItyGU9lfmmGLZZZVWcuDk5MG_eohDQKolJudyQcDvSX-YvbOXj4IbPM1w&s
53,53,53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1.0,4.5,0,Yes,,Historical,Yes,0.59,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEcECG2wC6NYGwpSr7zNNYeT_4QNoz82exg24tjYG1SGFIDhi9l4wuEyc3AQ&s
54,54,54,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,,Historical,Yes,0.95,Morning,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQYMX1ALZZzR1AgwryupXXzFyLAhIRQcLqI0xHnZUX1zNMefnpLZNLkpu7jgM&s
55,55,55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3.0,4.6,500,Yes,,Nature,Yes,0.3,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-XWjNrG84fzymR_nBtEs11DFbja0kj50oN97Bwdb4T7KAmrsrwseeAiExPV8&s
56,56,56,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2.0,4.4,0,Yes,,Scenic,Yes,0.18,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFAVzDCnGF3a3o-FVOz_LTQ8XkVndRSTDuS1K7egqzfzU9qTpdcQYRMl9lltY&s
57,57,57,Southern,Goa,Goa,Chapora Fort,Fort,1617,1.0,4.2,0,Yes,,Historical,Yes,0.19,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpULDNY7YCRf5Bl_d1Hpp7LwR5JEarGlYIZKTz1_PMWFanaJi_gsBgousngQ&s
58,58,58,Southern,Goa,Goa,Se Cathedral,Church,1640,1.0,4.5,0,Yes,,Historical,Yes,0.05,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJSHm1vRsVygO_0s95InF-N5mbP75MaP0gtfxn4aPsXKY1XlRnI7O9DDmi76I&s
59,59,59,Southern,Goa,Goa,Baga Beach,Beach,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,0.35,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRU3VDalPxdWX2vpJsYF5DVK93Gq18G_V-oKKg8zYmkjPox2MBhMEnnTIEQKA&s
60,60,60,Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2.0,4.6,0,Yes,,Scenic,Yes,0.1,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEgzgmfUjmo6Cbks3rh2vMfgD9f4z2oo-MfjSz_czxGSFzW_rUhuCldUOD74w&s
61,61,61,Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2.0,4.6,0,Yes,,Scenic,Yes,0.27,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdiq-1qP9fFZJ8d5mAGZzmyBWHJ69M73l70EpT5FQGleBFiZBQ9bugfq9LsjU&s
62,62,62,Southern,Goa,Goa,Colva Beach,Beach,Unknown,2.0,4.3,0,Yes,,Scenic,Yes,0.1,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgKXynjN3lnnAqotAP3HVnj7Eg2pUZtOmw3s-tt9b9FEO_qnAG9wuFh2Etlw&s
63,63,63,Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,,Scenic,Yes,0.3,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVm8ip23m10P0wBcF9bBIa2y40SCOwIQjA1XW7EKSZQ4C_qVEwpcYtkSgSdQ&s
64,64,64,Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,0.01,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiSLRCEgn8_Th2ehnxp_h-3WU5moDwgizBf7_CfcA3bG0kRi0QulbE96mnrvo&s
65,65,65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2.0,3.9,10,Yes,,Wildlife,Yes,0.03,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvdjnhlX5NZsdzAjKtNhfqfkOXbBJnhhpUBfU_S-bFQuqmrAnTGRB8DiiDqA&s
66,66,66,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,,Historical,Yes,0.35,Morning,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.5800568,23.0215374,4.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBTCt02cTj5oCXZdAD0CG9rRtJiEuLup9mN2kzedH9lUlUovwy9rZwKCiRJq0&s
