Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description
42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals."
43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,,Architectural,No,1.2,Anytime,"Famous for Kolkata, the Sundarbans, and cultural festivals."
44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals."
45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1,4.7,0,Yes,,Religious,Yes,0.82,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals."
46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1,4.4,0,Yes,,Religious,Yes,0.5,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals."
47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3,4.1,2500,Yes,,Sports,Yes,0.1,All,"Famous for Kolkata, the Sundarbans, and cultural festivals."
48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2,4.3,25,Yes,,Wildlife,Yes,0.66,Afternoon,"Famous for Kolkata, the Sundarbans, and cultural festivals."
49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3,4.4,60,Yes,,Educational,Yes,0.88,All,"Famous for Kolkata, the Sundarbans, and cultural festivals."
50,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,,Religious,Yes,0.47,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals."
51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1,4.4,0,Yes,,Historical,Yes,0.1,Afternoon,"Famous for Kolkata, the Sundarbans, and cultural festivals."
52,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2,4.4,0,Yes,,Scenic,Yes,0.26,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife."
53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1,4.5,0,Yes,,Historical,Yes,0.59,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife."
54,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,,Historical,Yes,0.95,Morning,"Renowned for its beaches, Portuguese architecture, and nightlife."
55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3,4.6,500,Yes,,Nature,Yes,0.3,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife."
56,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2,4.4,0,Yes,,Scenic,Yes,0.18,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife."
57,Southern,Goa,Goa,Chapora Fort,Fort,1617,1,4.2,0,Yes,,Historical,Yes,0.19,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife."
58,Southern,Goa,Goa,Se Cathedral,Church,1640,1,4.5,0,Yes,,Historical,Yes,0.05,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife."
59,Southern,Goa,Goa,Baga Beach,Beach,Unknown,2,4.5,0,Yes,,Scenic,Yes,0.35,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife."
60,Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2,4.6,0,Yes,,Scenic,Yes,0.1,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife."
61,Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2,4.6,0,Yes,,Scenic,Yes,0.27,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife."
62,Southern,Goa,Goa,Colva Beach,Beach,Unknown,2,4.3,0,Yes,,Scenic,Yes,0.1,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife."
63,Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,,Scenic,Yes,0.3,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife."
64,Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2,4.5,0,Yes,,Scenic,Yes,0.01,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife."
65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2,3.9,10,Yes,,Wildlife,Yes,0.03,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife."
66,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,,Historical,Yes,0.35,Morning,"Home to the Gir National Park, temples, and the Rann of Kutch."
67,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2,4.7,0,No,,Religious,No,0.59,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch."
68,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3,4.5,3500,No,,Wildlife,Yes,0.08,Morning,"Home to the Gir National Park, temples, and the Rann of Kutch."
69,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,,Nature,Yes,0.12,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch."
70,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon,"Home to the Gir National Park, temples, and the Rann of Kutch."
71,Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2,4.8,0,No,,Religious,No,0.39,Morning,"Home to the Gir National Park, temples, and the Rann of Kutch."
72,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3,4.9,7500,Yes,,Cultural,Yes,0.1,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch."
73,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3,4.6,350,No,Monday,Historical,Yes,0.67,All,"Home to the Gir National Park, temples, and the Rann of Kutch."
74,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,No,,Historical,Yes,0.05,All,"Home to the Gir National Park, temples, and the Rann of Kutch."
75,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1,4.6,0,Yes,,Recreational,Yes,0.1,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch."
76,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,2,4.4,0,Yes,,Food,Yes,0.49,Night,"Home to the Gir National Park, temples, and the Rann of Kutch."
77,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3,4.5,10,Yes,,Recreational,Yes,0.3,Afternoon,"Home to the Gir National Park, temples, and the Rann of Kutch."
78,Western,Gujarat,Ahmedabad,Science City,Science,2002,7,4.4,500,Yes,Monday,Educational,Yes,0.11,All,"Home to the Gir National Park, temples, and the Rann of Kutch."
79,Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1,4.4,50,Yes,,Architectural,Yes,1.3,Morning,"Desert state famous for its palaces, forts, and rich culture."
80,Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2,4.4,300,Yes,,Historical,Yes,0.51,All,"Desert state famous for its palaces, forts, and rich culture."
81,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,,Historical,Yes,0.56,All,"Desert state famous for its palaces, forts, and rich culture."
82,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3,4.6,500,No,,Wildlife,Yes,0.09,All,"Desert state famous for its palaces, forts, and rich culture."
83,Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,No,,Religious,Yes,1.6,All,"Desert state famous for its palaces, forts, and rich culture."
84,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1,4.6,0,Yes,,Religious,No,0.35,All,"Desert state famous for its palaces, forts, and rich culture."
85,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2,4.6,100,Yes,,Historical,Yes,0.64,All,"Desert state famous for its palaces, forts, and rich culture."
86,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2,4.6,40,No,,Historical,Yes,1.9,All,"Desert state famous for its palaces, forts, and rich culture."
87,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1,4.6,0,No,,Religious,No,0.05,All,"Desert state famous for its palaces, forts, and rich culture."
88,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2,4.5,50,Yes,,Historical,Yes,0.32,All,"Desert state famous for its palaces, forts, and rich culture."
89,Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2,4.6,100,Yes,,Historical,Yes,1.5,All,"Desert state famous for its palaces, forts, and rich culture."
90,Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,Yes,,Historical,Yes,0.3,All,"Desert state famous for its palaces, forts, and rich culture."
91,Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1,4.6,0,Yes,,Nature,Yes,0.5,All,"Desert state famous for its palaces, forts, and rich culture."
92,Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,Yes,,Spiritual,Yes,1.9,All,"Land of five rivers, known for its cuisine and festivals."
93,Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1,4.8,0,Yes,,Historical,Yes,0.3,Afternoon,"Land of five rivers, known for its cuisine and festivals."
94,Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2,4.8,0,Yes,,Cultural,Yes,0.17,Evening,"Land of five rivers, known for its cuisine and festivals."
95,Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2,4.5,30,Yes,,Artistic,Yes,0.5,All,"Land of five rivers, known for its cuisine and festivals."
96,Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.11,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
97,Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2,4.3,0,No,,Nature,Yes,0.3,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
98,Southern,Kerala,Kochi,Fort Kochi,Site,1503,1,4.4,0,Yes,,Historical,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
99,Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1,4.7,0,Yes,,Religious,No,0.46,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
100,Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,Unknown,1.5,3.9,0,Yes,,Recreational,Yes,0.059,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
101,Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,Unknown,3,4.5,300,No,,Wildlife,Yes,2.2,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
102,Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3,4.3,50,No,,Wildlife,Yes,0.14,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
103,Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2,3.8,50,Yes,,Wildlife,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
104,Southern,Kerala,Varkala,Varkala Beach,Beach,Unknown,2,4.6,0,Yes,,Recreational,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
105,Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,20,No,,Historical,Yes,0.22,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
106,Southern,Kerala,Kovalam,Kovalam Beach,Beach,Unknown,2,4.4,0,Yes,,Recreational,Yes,0.68,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
107,Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1,4.4,20,Yes,,Historical,Yes,0.11,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
108,Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,Unknown,1,4.5,0,No,,Nature,Yes,0.03,Morning,"Famous for its backwaters, beaches, and Ayurvedic treatments."
109,Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,Yes,Monday,Cultural,Yes,0.1,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
110,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,Yes,,Entertainment,Yes,0.41,All,"Famous for its backwaters, beaches, and Ayurvedic treatments."
111,Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2,4.6,50,Yes,,Historical,Yes,2.5,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
112,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3,4.7,0,No,,Historical,Yes,0.05,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
113,Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1,4.1,0,No,,Nature,Yes,0.03,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
114,Southern,Karnataka,Gokarna,Om Beach,Beach,Unknown,2,4.5,0,No,,Nature,Yes,0.09,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
115,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3,4.5,0,No,,Nature,Yes,0.05,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
116,Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,No,,Religious,No,0.2,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
117,Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,No,,Nature,Yes,0.23,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
118,Southern,Karnataka,Mangalore,Panambur Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.1,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
119,Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1,4.7,0,Yes,,Religious,No,0.49,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
120,Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,No,,Historical,Yes,0.25,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
121,Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3,4.4,300,No,,Wildlife,Yes,0.15,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
122,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1,4.7,15,No,,Religious,No,0.11,All,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations."
123,Western,Maharashtra,Pune,Shaniwar Wada,Fort,1732,2,4.4,50,Yes,,Historical,Yes,1.2,All,"Home to Mumbai, the financial capital, and historical sites."
124,Western,Maharashtra,Aurangabad,Ajanta Caves,Cave,200,3,4.6,30,Yes,Monday,Historical,Yes,0.21,Afternoon,"Home to Mumbai, the financial capital, and historical sites."
125,Western,Maharashtra,Nashik,Sula Vineyards,Vineyard,1999,2,4.1,300,Yes,,Recreational,Yes,0.1,Afternoon,"Home to Mumbai, the financial capital, and historical sites."
126,Western,Maharashtra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,,Religious,No,0.69,All,"Home to Mumbai, the financial capital, and historical sites."
127,Western,Maharashtra,Alibaug,Alibaug Beach,Beach,Unknown,1.5,4.2,0,Yes,,Recreational,Yes,0.05,Evening,"Home to Mumbai, the financial capital, and historical sites."
128,Western,Maharashtra,Ratnagiri,Ganapatipule Temple,Temple,1600,1,4.7,0,No,,Religious,No,0.1,All,"Home to Mumbai, the financial capital, and historical sites."
129,Western,Maharashtra,Nagpur,Deekshabhoomi,Monument,2001,1,4.5,0,Yes,,Religious,Yes,0.11,Afternoon,"Home to Mumbai, the financial capital, and historical sites."
130,Western,Maharashtra,Kolhapur,Mahalakshmi Temple,Temple,700,1,4.8,0,Yes,,Religious,No,0.9,All,"Home to Mumbai, the financial capital, and historical sites."
131,Western,Maharashtra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,Yes,Yes,Historical,Yes,0.27,Afternoon,"Home to Mumbai, the financial capital, and historical sites."
132,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,Unknown,2,4.6,0,No,,Recreational,Yes,0.065,Evening,"Home to Mumbai, the financial capital, and historical sites."
133,Western,Maharashtra,Satara,Kaas Plateau,Valley,Unknown,2,4.4,300,No,,Nature,Yes,0.05,Afternoon,"Home to Mumbai, the financial capital, and historical sites."
134,Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,Yes,,Nature,Yes,0.02,Morning,"Home to Mumbai, the financial capital, and historical sites."
135,Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3,4.7,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon,"Home to Mumbai, the financial capital, and historical sites."
136,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2,4.7,40,No,,Cultural,Yes,0.09,Afternoon,"Heart of India with temples, forts, and wildlife parks."
137,Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,Yes,,Historical,Yes,0.01,Afternoon,"Heart of India with temples, forts, and wildlife parks."
138,Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1,4.4,10,Yes,,Historical,Yes,0.63,Afternoon,"Heart of India with temples, forts, and wildlife parks."
139,Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,Yes,,Historical,Yes,0.4,Morning,"Heart of India with temples, forts, and wildlife parks."
140,Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,Yes,,Religious,No,1.2,All,"Heart of India with temples, forts, and wildlife parks."
141,Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Unknown,1,4.5,0,No,,Nature,Yes,0.01,Morning,"Heart of India with temples, forts, and wildlife parks."
142,Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,Unknown,1.5,4.6,15,No,,Nature,Yes,0.065,Morning,"Heart of India with temples, forts, and wildlife parks."
143,Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3,4.5,100,No,,Wildlife,Yes,0.1,Morning,"Heart of India with temples, forts, and wildlife parks."
144,Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3,4.5,50,No,,Wildlife,Yes,0.05,Morning,"Heart of India with temples, forts, and wildlife parks."
145,Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,No,,Historical,Yes,0.1,Afternoon,"Heart of India with temples, forts, and wildlife parks."
146,Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1,3.9,50,No,,Historical,Yes,0.03,Afternoon,"Heart of India with temples, forts, and wildlife parks."
147,Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2,4.6,25,No,,Archaeological,Yes,0.07,Afternoon,"Heart of India with temples, forts, and wildlife parks."
148,Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1,4.4,0,No,,Religious,Yes,0.01,All,"Heart of India with temples, forts, and wildlife parks."
149,Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,Unknown,1.5,4.4,0,No,,Nature,Yes,0.1,Morning,"Heart of India with temples, forts, and wildlife parks."
150,Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,Unknown,1,4.7,0,Yes,,Recreational,Yes,0.03,Morning,Famous for its hill stations like Shimla and Manali.
151,Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2,4.1,0,No,,Adventure,Yes,0.05,Morning,Famous for its hill stations like Shimla and Manali.
152,Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,4.7,0,Yes,,Religious,No,0.15,All,Famous for its hill stations like Shimla and Manali.
