,Unnamed: 0.1,Unnamed: 0,Sno,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,State Description,longitude,latitude,loc_clusters,img,Season,Season Code
15,15,15,15,Northern,Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70,Yes,,Scientific,Yes,0.23,All,The capital city with a mix of ancient and modern attractions.,77.1716954,28.6273928,3.0,https://tse1.mm.bing.net/th?id=OIP.3nYB8hYz2HMn7HgTv3_2jAHaD4&pid=Api&P=0&w=300&h=300,Winter,W
16,16,16,16,Western,Maharashtra,Mumbai,Marine Drive,Promenade,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,1.5,Evening,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://tse3.mm.bing.net/th?id=OIP.cLLL5UYPs0rSXK6-j8TjRwHaE9&pid=Api&P=0&w=300&h=300,Monsoon,M
17,17,17,17,Western,Maharashtra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0,Yes,,Historical,Yes,3.6,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://tse3.mm.bing.net/th?id=OIP.32sf7nIiSHvYZBd36sdhFAHaF7&pid=Api&P=0&w=300&h=300,Monsoon,M
18,18,18,18,Western,Maharashtra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1.0,4.6,500,Yes,,Historical,Yes,0.34,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://tse2.mm.bing.net/th?id=OIP.mpjqJM8FmPlL0Y1S9YJ__gHaFb&pid=Api&P=0&w=300&h=300,Monsoon,M
19,19,19,19,Western,Maharashtra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://tse3.mm.bing.net/th?id=OIP._odtVScyZFwra73E-UpFfQHaLH&pid=Api&P=0&w=300&h=300,Monsoon,M
20,20,20,20,Western,Maharashtra,Mumbai,Siddhivinayak Temple,Temple,1881,2.0,4.8,0,Yes,,Religious,No,1.05,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://tse4.mm.bing.net/th?id=OIP.9BqMOsnvarzEvnz3EibXwAHaEY&pid=Api&P=0&w=300&h=300,Monsoon,M
21,21,21,21,Western,Maharashtra,Mumbai,Mahalaxmi Temple,Temple,1831,1.0,4.7,0,Yes,,Religious,No,0.33,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://tse2.mm.bing.net/th?id=OIP.W5gv9ZarQITseMpqbcJHJQHaFc&pid=Api&P=0&w=300&h=300,Monsoon,M
22,22,22,22,Western,Maharashtra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2.0,4.4,0,Yes,,Religious,No,0.16,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://tse4.mm.bing.net/th?id=OIP.OVOE_6M5xIfhblS3anMf5gHaGB&pid=Api&P=0&w=300&h=300,Monsoon,M
23,23,23,23,Western,Maharashtra,Mumbai,Chowpatty Beach,Beach,Unknown,2.0,4.3,0,Yes,,Recreational,Yes,0.05,Evening,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://tse4.mm.bing.net/th?id=OIP.aYpUfhkmZQ0TDLtzvsrfPQHaFj&pid=Api&P=0&w=300&h=300,Monsoon,M
24,24,24,24,Western,Maharashtra,Mumbai,Essel World,Amusement Park,1986,5.0,4.3,1149,Yes,,Recreational,Yes,0.27,All,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://tse3.mm.bing.net/th?id=OIP.JOMp9e59KN8GRJScf1olAAHaE8&pid=Api&P=0&w=300&h=300,Monsoon,M
25,25,25,25,Western,Maharashtra,Mumbai,Elephanta Caves,Monument,1987,4.0,4.3,550,Yes,,Historical,Yes,0.35,All ,"Home to Mumbai, the financial capital, and historical sites.",72.88662754,19.08157715,12.0,https://tse3.mm.bing.net/th?id=OIP.4QvFLEfetUyj90eW7GGeAwHaE6&pid=Api&P=0&w=300&h=300,Monsoon,M
26,26,26,26,Western,Maharashtra,Lonavala,Imagicaa,Amusement Park,2013,5.0,1.4,1149,No,Monday,Recreational,Yes,0.95,All,"Home to Mumbai, the financial capital, and historical sites.",73.4016729,18.7548563,12.0,https://tse2.mm.bing.net/th?id=OIP.ng9zsUwl1GlzigMZk6gNywHaEK&pid=Api&P=0&w=300&h=300,Monsoon,M
27,27,27,27,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2.0,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.62260004,12.98815675,18.0,https://tse2.mm.bing.net/th?id=OIP.i8dzBHIHgsZ0D9JK9tzSMwHaEo&pid=Api&P=0&w=300&h=300,All Year,A
28,28,28,28,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,,Nature,Yes,1.5,Evening,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.62260004,12.98815675,18.0,https://tse1.mm.bing.net/th?id=OIP._TdnScfDLM6lFLQs-9x6fQHaEo&pid=Api&P=0&w=300&h=300,All Year,A
29,29,29,29,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1.0,4.4,0,Yes,,Nature,Yes,1.32,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.62260004,12.98815675,18.0,https://tse3.mm.bing.net/th?id=OIP.0Q4P8a8yOuQ6CgHrOotg_gHaEK&pid=Api&P=0&w=300&h=300,All Year,A
30,30,30,30,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,,Architectural,No,0.8,Morning,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.62260004,12.98815675,18.0,https://tse3.mm.bing.net/th?id=OIP.zHvCQFqLlEtN02PmMTuHwwHaFF&pid=Api&P=0&w=300&h=300,All Year,A
31,31,31,31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1.0,4.6,0,Yes,,Religious,Yes,1.14,Evening,"Known for its IT hub Bengaluru, heritage sites, and coffee plantations.",77.62260004,12.98815675,18.0,https://tse2.mm.bing.net/th?id=OIP.Ua2-ZJFqIu6isPwXK_ToRAHaE8&pid=Api&P=0&w=300&h=300,All Year,A
32,32,32,32,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1.0,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://tse2.mm.bing.net/th?id=OIP.wodFHZqy4cPbY7BOgqkckgHaFj&pid=Api&P=0&w=300&h=300,All Year,A
33,33,33,33,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2.0,4.4,30,Yes,,Historical,Yes,1.2,Morning,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://tse4.mm.bing.net/th?id=OIP.Z-_LdzTSu09_JAGsh4aCdgHaEK&pid=Api&P=0&w=300&h=300,All Year,A
34,34,34,34,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1.0,4.3,0,Yes,,Scenic,Yes,0.5,Evening,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://tse4.mm.bing.net/th?id=OIP.GXf8IUGSaqSAd6yKR64yhQHaFE&pid=Api&P=0&w=300&h=300,All Year,A
35,35,35,35,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150,Yes,,Entertainment,Yes,0.45,All,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://tse4.mm.bing.net/th?id=OIP.Krmwe2oszvwtAmrYNyPkPgHaFQ&pid=Api&P=0&w=300&h=300,All Year,A
36,36,36,36,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2.0,4.4,20,Yes,,Historical,Yes,0.67,All,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://tse4.mm.bing.net/th?id=OIP.XO3QeZxMinUcA2y2Aj_JvAHaE6&pid=Api&P=0&w=300&h=300,All Year,A
37,37,37,37,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1.0,4.4,25,Yes,,Historical,Yes,0.2,Morning,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://tse1.mm.bing.net/th?id=OIP.w8xQ5HZ5Yt4pLKA2Ini7QQHaE8&pid=Api&P=0&w=300&h=300,All Year,A
38,38,38,38,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1.0,4.7,0,Yes,,Religious,No,0.41,All,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://tse4.mm.bing.net/th?id=OIP.aVEU_qTtvHIxTCyRmGE2xwHaE9&pid=Api&P=0&w=300&h=300,All Year,A
39,39,39,39,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,,Historical,Yes,0.45,Morning,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://tse1.mm.bing.net/th?id=OIP.xMXRp_aWlcRpqROsFDvU8AHaE8&pid=Api&P=0&w=300&h=300,All Year,A
40,40,40,40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.2,50,Yes,,Wildlife,Yes,0.86,Morning,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://tse2.mm.bing.net/th?id=OIP.VOIOXzupypyXn1kB6YJ11QHaFj&pid=Api&P=0&w=300&h=300,All Year,A
41,41,41,41,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1.0,4.1,20,Yes,,Recreational,Yes,0.73,Evening,Home to historic Hyderabad and the Charminar.,78.4740613,17.360589,0.0,https://tse2.mm.bing.net/th?id=OIP.11r8pqDOOLRs8sgjZt9eQwHaEI&pid=Api&P=0&w=300&h=300,All Year,A
42,42,42,42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://tse1.mm.bing.net/th?id=OIP.zxtrdv8gcWA1ScwD4Y0IcAHaLG&pid=Api&P=0&w=300&h=300,All Year,A
43,43,43,43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,,Architectural,No,1.2,Anytime,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://tse1.mm.bing.net/th?id=OIP.CypyvD3WxzvdyogLKRSFFgHaE7&pid=Api&P=0&w=300&h=300,All Year,A
44,44,44,44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.0,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://tse3.mm.bing.net/th?id=OIP.fBFgiqmM8c5d98wdpCkl5AHaFj&pid=Api&P=0&w=300&h=300,All Year,A
45,45,45,45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0,Yes,,Religious,Yes,0.82,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://tse2.mm.bing.net/th?id=OIP.OMcqgO0DwTujFF60QxU47gHaFj&pid=Api&P=0&w=300&h=300,All Year,A
46,46,46,46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1.0,4.4,0,Yes,,Religious,Yes,0.5,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://tse2.mm.bing.net/th?id=OIP.6IPlucHWzbCNdgLLitw_ZQHaDt&pid=Api&P=0&w=300&h=300,All Year,A
47,47,47,47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3.0,4.1,2500,Yes,,Sports,Yes,0.1,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://tse4.mm.bing.net/th?id=OIP.jXKIxji8a1Qw4vSXvzp1fAHaDt&pid=Api&P=0&w=300&h=300,All Year,A
48,48,48,48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2.0,4.3,25,Yes,,Wildlife,Yes,0.66,Afternoon,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://tse3.mm.bing.net/th?id=OIP.U6OlvG8sO2TSc_OUZh_B9QHaEc&pid=Api&P=0&w=300&h=300,All Year,A
49,49,49,49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3.0,4.4,60,Yes,,Educational,Yes,0.88,All,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://tse4.mm.bing.net/th?id=OIP.kTS_MpijHH5rctyQJSI54gHaE6&pid=Api&P=0&w=300&h=300,All Year,A
50,50,50,50,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,,Religious,Yes,0.47,Morning,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://tse4.mm.bing.net/th?id=OIP.viM4AFddcARXuz1jgCOxFAHaF-&pid=Api&P=0&w=300&h=300,All Year,A
51,51,51,51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1.0,4.4,0,Yes,,Historical,Yes,0.1,Afternoon,"Famous for Kolkata, the Sundarbans, and cultural festivals.",88.3638953,22.5726459,15.0,https://tse3.mm.bing.net/th?id=OIP.NRXEqOhGT2zWtv5jFL_KNwHaFj&pid=Api&P=0&w=300&h=300,All Year,A
52,52,52,52,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2.0,4.4,0,Yes,,Scenic,Yes,0.26,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse2.mm.bing.net/th?id=OIP.yqpXcqUeaqsfz0unBVNMWAHaE8&pid=Api&P=0&w=300&h=300,Monsoon,M
53,53,53,53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1.0,4.5,0,Yes,,Historical,Yes,0.59,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse3.mm.bing.net/th?id=OIP.pdu1wCa-ZRDPY8dUPKErlQHaFj&pid=Api&P=0&w=300&h=300,Monsoon,M
54,54,54,54,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,,Historical,Yes,0.95,Morning,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse4.mm.bing.net/th?id=OIP.JYhzx6mvPhWtiXXLxRyy1AHaDt&pid=Api&P=0&w=300&h=300,Monsoon,M
55,55,55,55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3.0,4.6,500,Yes,,Nature,Yes,0.3,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse3.mm.bing.net/th?id=OIP.BG-da4ZOV-CI-zqUThvClwHaHa&pid=Api&P=0&w=300&h=300,Monsoon,M
56,56,56,56,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2.0,4.4,0,Yes,,Scenic,Yes,0.18,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse2.mm.bing.net/th?id=OIP.csnTrQbsN_96Ov9-MkLj5wAAAA&pid=Api&P=0&w=300&h=300,Monsoon,M
57,57,57,57,Southern,Goa,Goa,Chapora Fort,Fort,1617,1.0,4.2,0,Yes,,Historical,Yes,0.19,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse1.mm.bing.net/th?id=OIP.4VB1k8x1YV4KN903ACNV_gHaEK&pid=Api&P=0&w=300&h=300,Monsoon,M
58,58,58,58,Southern,Goa,Goa,Se Cathedral,Church,1640,1.0,4.5,0,Yes,,Historical,Yes,0.05,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse3.mm.bing.net/th?id=OIP.HhWlwro3T8NzRWiO3yjWKQHaFY&pid=Api&P=0&w=300&h=300,Monsoon,M
59,59,59,59,Southern,Goa,Goa,Baga Beach,Beach,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,0.35,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse4.mm.bing.net/th?id=OIP.I51tmZOcz4GJ4ht8NKCWGwHaE7&pid=Api&P=0&w=300&h=300,Monsoon,M
60,60,60,60,Southern,Goa,Goa,Arambol Beach,Beach,Unknown,2.0,4.6,0,Yes,,Scenic,Yes,0.1,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse3.mm.bing.net/th?id=OIP.m945YfXg55kZOVE51xZZZgHaFj&pid=Api&P=0&w=300&h=300,Monsoon,M
61,61,61,61,Southern,Goa,Goa,Palolem Beach,Beach,Unknown,2.0,4.6,0,Yes,,Scenic,Yes,0.27,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse2.mm.bing.net/th?id=OIP.dfOdh_FcggnxUupOHaeJdQHaE8&pid=Api&P=0&w=300&h=300,Monsoon,M
62,62,62,62,Southern,Goa,Goa,Colva Beach,Beach,Unknown,2.0,4.3,0,Yes,,Scenic,Yes,0.1,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse3.mm.bing.net/th?id=OIP.kOhZTdgTvQKtm0NC5l80XQHaE3&pid=Api&P=0&w=300&h=300,Monsoon,M
63,63,63,63,Southern,Goa,Goa,Miramar Beach,Beach,Unknown,1.5,4.2,0,Yes,,Scenic,Yes,0.3,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse1.mm.bing.net/th?id=OIP.DsE7B614LLnVwsAzf1_jSwHaFB&pid=Api&P=0&w=300&h=300,Monsoon,M
64,64,64,64,Southern,Goa,Goa,Aguada Beach,Beach,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,0.01,Evening,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse4.mm.bing.net/th?id=OIP.RnayS01yzTe4RMV1h-Ar3wHaFj&pid=Api&P=0&w=300&h=300,Monsoon,M
65,65,65,65,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2.0,3.9,10,Yes,,Wildlife,Yes,0.03,Afternoon,"Renowned for its beaches, Portuguese architecture, and nightlife.",74.0855134,15.3004543,8.0,https://tse4.mm.bing.net/th?id=OIP.vtDHtPgxlVgLuBUEGw9EJwHaEK&pid=Api&P=0&w=300&h=300,Monsoon,M
66,66,66,66,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,,Historical,Yes,0.35,Morning,"Home to the Gir National Park, temples, and the Rann of Kutch.",72.5800568,23.0215374,4.0,https://tse2.mm.bing.net/th?id=OIP.otdp2mbenmuOibUsPL2U5QHaEO&pid=Api&P=0&w=300&h=300,All Year,A
67,67,67,67,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2.0,4.7,0,No,,Religious,No,0.59,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch.",68.9742446,22.2471009,15.0,https://tse1.mm.bing.net/th?id=OIP.k1jb8CSUlq7MbHVzvILxNQHaFw&pid=Api&P=0&w=300&h=300,All Year,A
68,68,68,68,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3.0,4.5,3500,No,,Wildlife,Yes,0.08,Morning,"Home to the Gir National Park, temples, and the Rann of Kutch.",70.4642754,21.5174104,21.0,https://tse3.mm.bing.net/th?id=OIP.AMh-E73_Y9YnzE9p5nmp0wHaEK&pid=Api&P=0&w=300&h=300,All Year,A
69,69,69,69,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,Yes,,Nature,Yes,0.12,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch.",69.668339,23.2472446,4.0,https://tse1.mm.bing.net/th?id=OIP.4cWOmwK-jzJSnfE-5kydhgHaE8&pid=Api&P=0&w=300&h=300,All Year,A
70,70,70,70,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2.0,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon,"Home to the Gir National Park, temples, and the Rann of Kutch.",73.1942567,22.2973142,15.0,https://tse2.mm.bing.net/th?id=OIP.cy9QLGwJEEl1IpBX0PL79wHaE6&pid=Api&P=0&w=300&h=300,All Year,A
71,71,71,71,Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2.0,4.8,0,No,,Religious,No,0.39,Morning,"Home to the Gir National Park, temples, and the Rann of Kutch.",70.4025266,20.8907001,7.0,https://tse4.mm.bing.net/th?id=OIP.7RWrnpW32vsFVB2kw0b7WQHaEK&pid=Api&P=0&w=300&h=300,All Year,A
72,72,72,72,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3.0,4.9,7500,Yes,,Cultural,Yes,0.1,Evening,"Home to the Gir National Park, temples, and the Rann of Kutch.",70.49661369,23.79055185,24.0,https://tse2.mm.bing.net/th?id=OIP.1VIdNvxKu76z2fiOWU0g7QHaE7&pid=Api&P=0&w=300&h=300,Monsoon,M
73,73,73,73,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3.0,4.6,350,No,Monday,Historical,Yes,0.67,All,"Home to the Gir National Park, temples, and the Rann of Kutch.",73.1472445,21.2947722,21.0,https://tse3.mm.bing.net/th?id=OIP.j_1iGuoJckDWFyGIUWypdgAAAA&pid=Api&P=0&w=300&h=300,All Year,A
